token_id,display_name,sampled_at_ms,fetch_status,fetch_error_message,five_hour_utilization,five_hour_resets_at,seven_day_utilization,seven_day_resets_at
tok-00000000,prod-token-1,1778371200000,ok,,3.3,2026-05-10T05:00:00Z,0.7,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778374800000,ok,,8.7,2026-05-10T05:00:00Z,2.1,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778378400000,ok,,19.2,2026-05-10T05:00:00Z,3.8,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778382000000,ok,,23.1,2026-05-10T05:00:00Z,4.7,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778385600000,ok,,26.5,2026-05-10T05:00:00Z,5.3,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778389200000,ok,,8.6,2026-05-10T10:00:00Z,5.7,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778392800000,ok,,13.7,2026-05-10T10:00:00Z,6.9,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778396400000,ok,,22.7,2026-05-10T10:00:00Z,7.6,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778400000000,ok,,32.2,2026-05-10T10:00:00Z,9.1,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778403600000,ok,,35.3,2026-05-10T10:00:00Z,10.6,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778407200000,ok,,10.7,2026-05-10T15:00:00Z,11.4,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778410800000,ok,,15.4,2026-05-10T15:00:00Z,13.1,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778414400000,ok,,22.1,2026-05-10T15:00:00Z,13.6,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778418000000,ok,,26.2,2026-05-10T15:00:00Z,15.1,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778421600000,ok,,35.8,2026-05-10T15:00:00Z,16.7,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778425200000,ok,,11.0,2026-05-10T20:00:00Z,17.8,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778428800000,ok,,24.7,2026-05-10T20:00:00Z,18.6,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778432400000,ok,,33.8,2026-05-10T20:00:00Z,20.2,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778436000000,ok,,43.6,2026-05-10T20:00:00Z,21.8,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778439600000,ok,,53.0,2026-05-10T20:00:00Z,23.1,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778443200000,ok,,3.5,2026-05-11T01:00:00Z,23.8,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778446800000,ok,,9.7,2026-05-11T01:00:00Z,24.2,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778450400000,ok,,15.2,2026-05-11T01:00:00Z,24.6,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778454000000,ok,,21.3,2026-05-11T01:00:00Z,25.9,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778457600000,ok,,28.3,2026-05-11T01:00:00Z,26.7,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778461200000,ok,,5.3,2026-05-11T06:00:00Z,27.4,2026-05-17T00:00:00Z
tok-00000000,prod-token-1,1778464800000,ok,,18.6,2026-05-11T06:00:00Z,28.7,2026-05-17T00:00:00Z
